Date,Closing Price,Daily Tweets,Sentiment Score
2020-02-13,8.82,11.0,0.3581090909090909
2020-02-14,8.34,10.0,0.14950999999999998
2020-02-18,9.21,25.0,0.244972
2020-02-19,10.42,21.0,0.27689523809523814
2020-02-20,10.69,152.0,0.07989736842105262
2020-02-21,10.2,234.0,0.08906410256410255
2020-02-24,9.94,93.0,0.09980322580645166
2020-02-25,9.51,38.0,0.09857631578947369
2020-02-26,8.88,34.0,0.16681764705882354
2020-02-27,8.36,32.0,0.19307500000000005
2020-02-28,8.57,21.0,0.07332857142857144
2020-04-01,4.74,20.0,0.1915050000000001
2020-04-02,4.9,40.0,0.24565500000000004
2020-04-03,4.73,18.0,0.12498888888888889
2020-04-06,5.55,3.0,0.0
2020-04-07,5.66,6.0,0.16341666666666668
2020-04-08,5.92,5.0,0.31156000000000006
2020-04-09,6.29,13.0,0.01823076923076923
2020-04-13,6.41,13.0,0.043023076923076935
2020-04-14,6.67,14.0,0.20435
