Year-Week,COENF,DNNGY,DQ,ENPH,FSLR,GCTAY,ORA,RUN,SCTY,SPWR,TSLA,VWDRY
2011-01,4.85,,11.744,,132.722,1.69,29.669999999999998,,,13.523499999999999,27.248,14.5
2011-02,4.85,,13.292000000000002,,139.268,1.69,30.564,,,14.136,26.868000000000002,14.5
2011-03,4.77,,12.4125,,146.6075,1.69,30.66,,,14.4275,23.832500000000003,14.5
2011-04,4.9,,13.015,,151.478,1.69,30.868000000000002,,,13.874,24.57,14.5
2011-05,4.9,,13.87622,,159.038,1.69,30.724,,,14.532,23.808,14.5
2011-06,4.9,,13.421800000000001,,159.328,1.69,29.782,,,15.585500000000001,23.447000000000003,14.5
2011-07,4.9,,13.275979999999999,,168.406,1.69,29.194,,,17.135999999999996,23.486,14.5
2011-08,4.862500000000001,,12.362499999999999,,161.88,1.69,25.490000000000002,,,17.9,22.46,14.5
2011-09,4.840000000000001,,12.0798,,146.57599999999996,1.69,24.572,,,16.934,24.232,14.5
2011-10,4.9,,11.835999999999999,,141.642,1.69,23.549999999999997,,,15.24,24.48,14.5
2011-11,4.459999999999999,,12.748000000000001,,152.91199999999998,1.69,24.473999999999997,,,15.481,22.958000000000006,14.5
2011-12,4.529999999999999,,13.164000000000001,,149.93,1.69,24.951999999999998,,,16.206,22.442,14.5
2011-13,4.572,,12.904,,157.198,1.69,25.188,,,16.946,25.058,14.5
2011-14,4.8,,12.052,,151.198,1.904,25.874000000000002,,,17.253999999999998,26.55,13.618
2011-15,4.7,,11.236,,142.26399999999998,2.0140000000000002,25.202,,,16.214,25.113999999999997,12.696000000000002
2011-16,4.55,,11.615000000000002,,136.7225,1.7825000000000002,25.0475,,,15.4475,25.669999999999998,11.67
2011-17,4.7,,12.16,,137.55,1.766,25.0,,,17.08,27.131999999999998,11.728
2011-18,4.8,,12.216,,131.274,1.734,23.672000000000004,,,21.473999999999997,26.913999999999998,10.972
2011-19,4.8,,13.309999999999999,,128.11399999999998,1.7,22.812,,,21.41,27.706,9.99
2011-20,4.8,,11.528,,127.178,1.814,23.326,,,21.132,27.016,10.3275
2011-21,4.8,,11.104000000000003,,121.58699999999999,1.746,22.259999999999998,,,20.85,28.310000000000002,9.562000000000001
2011-22,4.8125,,10.280000000000001,,120.78999999999999,1.83,21.505000000000003,,,20.97,29.38675,9.845
2011-23,4.79,,8.4,,116.006,1.7579999999999998,21.368000000000002,,,21.118000000000002,27.934000000000005,9.516
2011-24,4.676,,8.482000000000001,,118.55,1.6800000000000002,22.426,,,18.639999999999997,27.47,9.1
2011-25,4.67,,7.874,,122.326,1.5219999999999998,22.404000000000003,,,17.086,27.205000000000002,7.787000000000001
2011-26,4.67,,7.723000000000001,,127.208,1.4483599999999999,22.084,,,18.51,28.401999999999997,7.683
2011-27,4.67,,7.21,,132.2725,1.495,22.582500000000003,,,19.802500000000002,29.16,8.2175
2011-28,4.67,,6.543000000000001,,124.78200000000001,1.416,21.804,,,21.05,28.07,8.036
2011-29,4.67,,6.404000000000001,,123.70900000000002,1.3960000000000001,21.68,,,22.494,28.360000000000003,7.892
2011-30,4.67,,6.351999999999999,,118.67,1.416,21.252000000000002,,,19.9,28.094,7.587999999999999
2011-31,4.566,,6.866,,112.21,1.24322,19.092000000000002,,,18.163999999999998,26.46,6.7219999999999995
2011-32,4.15,,6.045999999999999,,101.422,1.064,16.674,,,15.758999999999997,24.826,6.076
2011-33,4.15,,6.0200000000000005,,98.69399999999999,1.0500000000000003,17.278000000000002,,,15.051999999999998,24.944,6.34
2011-34,4.15,,5.502,,95.00399999999999,0.982,15.985999999999999,,,13.719999999999999,23.124000000000002,6.612
2011-35,4.15,,5.702,,98.252,1.0539999999999998,16.368000000000002,,,13.797999999999998,24.23,6.792
2011-36,4.15,,5.154999999999999,,87.3425,0.895,15.192499999999999,,,12.5925,23.34,6.0325
2011-37,4.15,,4.882,,88.95,0.868,15.453999999999999,,,11.954,24.384,5.901999999999999
2011-38,4.15,,4.112,,74.74600000000001,0.78,15.187999999999999,,,9.755999999999998,25.927999999999997,5.4
