Date,Closing Price,Daily Tweets,Pos Sentiment
2017-09-06,3.01,49.0,0.15908163265306124
2017-09-07,3.02,16.0,0.089125
2017-09-08,2.96,47.0,0.13799999999999998
2017-09-11,2.96,30.0,0.2036666666666667
2017-09-12,2.95,49.0,0.17983673469387754
2017-09-13,2.95,46.0,0.16960869565217387
2017-09-14,2.83,45.0,0.16060000000000002
2017-09-15,2.83,33.0,0.21415151515151515
2017-09-18,2.64,79.0,0.08537974683544304
2017-09-19,2.72,130.0,0.1357153846153846
2017-09-20,2.72,74.0,0.1842027027027027
2017-09-21,2.66,81.0,0.14041975308641974
2017-09-22,2.68,57.0,0.196719298245614
2017-09-25,2.65,27.0,0.17629629629629628
2017-09-26,2.58,140.0,0.1753071428571429
2017-09-27,2.58,79.0,0.18787341772151897
2017-09-28,2.65,58.0,0.2170172413793103
2017-09-29,2.59,97.0,0.23143298969072157
2017-10-02,2.67,42.0,0.18111904761904762
2017-10-03,2.73,98.0,0.19604081632653064
2017-10-04,2.73,83.0,0.16048192771084335
2017-10-05,2.79,54.0,0.19816666666666669
2017-10-06,2.64,44.0,0.27934090909090914
2017-10-09,2.8,71.0,0.3168309859154931
2017-10-10,2.8,33.0,0.22669696969696967
2017-10-11,2.96,79.0,0.1632151898734177
2017-10-12,2.99,52.0,0.14325
2017-10-13,2.98,49.0,0.12322448979591835
2017-10-16,2.98,44.0,0.14863636363636365
2017-10-17,2.98,35.0,0.1857428571428571
2017-10-18,2.98,24.0,0.1985416666666667
2017-10-19,2.98,21.0,0.17604761904761906
2017-10-20,2.65,60.0,0.1742166666666667
2017-10-23,2.6,37.0,0.24040540540540545
2017-10-24,2.59,22.0,0.16800000000000004
2017-10-25,2.57,51.0,0.2344509803921568
2017-10-26,2.62,64.0,0.180875
2017-10-27,2.68,38.0,0.11639473684210529
2017-10-30,2.68,35.0,0.20337142857142856
2017-10-31,2.91,83.0,0.12371084337349399
2017-11-01,2.91,128.0,0.046953125
2017-11-02,2.92,51.0,0.14205882352941177
2017-11-03,2.78,19.0,0.1641052631578947
2017-11-06,2.76,176.0,0.05675568181818182
2017-11-07,2.57,140.0,0.09997142857142856
2017-11-08,2.6,93.0,0.18321505376344097
2017-11-09,2.54,63.0,0.16807936507936508
2017-11-10,2.48,44.0,0.14075
2017-11-13,2.33,27.0,0.1602592592592593
2017-11-14,2.3,43.0,0.18420930232558141
2017-11-15,2.41,16.0,0.20931249999999996
2017-11-16,2.41,98.0,0.1896122448979592
2017-11-17,2.32,51.0,0.1886666666666666
2017-11-20,2.35,21.0,0.18147619047619043
2017-11-21,2.3,23.0,0.2391304347826087
2017-11-22,2.29,45.0,0.1418444444444444
2017-11-24,2.2,22.0,0.1661363636363637
2017-11-27,2.21,84.0,0.2128809523809523
2017-11-28,2.5,170.0,0.13147647058823536
2017-11-29,2.5,131.0,0.11524427480916027
2017-11-30,2.5,91.0,0.1645604395604395
2017-12-01,2.52,66.0,0.15684848484848482
2017-12-04,2.46,79.0,0.12168354430379746
2017-12-05,2.46,53.0,0.09228301886792455
2017-12-06,2.46,119.0,0.08288235294117645
