Date,close_fslr,close_gctay,close_run,close_plug,close_spwr,close_mean
2018-01-03,69.8,2.86,6.05,2.42,8.83,17.991999999999997
2018-01-04,69.14,2.88,6.06,2.4,8.7,17.836000000000002
2018-01-05,69.17,2.68,6.01,2.36,8.65,17.774000000000004
2018-01-08,69.62,2.89,6.05,2.33,8.73,17.924
2018-01-09,70.02,3.0,6.01,2.32,8.52,17.973999999999997
2018-01-10,69.64,3.0,6.02,2.34,8.49,17.898
2018-01-11,76.27,3.0,6.3,2.4,9.47,19.488
2018-01-12,73.41,2.9,6.36,2.35,9.1,18.823999999999998
2018-01-16,71.22,3.0,6.06,2.28,8.62,18.236
2018-01-17,72.0,3.0,6.09,2.31,8.64,18.408
2018-01-18,71.09,3.0,5.92,2.27,8.55,18.166
2018-01-19,70.03,3.0,5.94,2.27,8.65,17.978
2018-01-22,68.96,3.27,6.04,2.25,8.72,17.848
2018-01-23,68.48,3.19,6.41,2.21,8.16,17.689999999999998
2018-01-24,68.98,3.19,6.39,2.21,7.77,17.708
2018-01-25,70.44,3.19,6.33,2.12,7.93,18.002
2018-01-26,70.56,3.11,6.33,2.08,8.14,18.044
2018-01-29,68.35,3.07,6.66,2.0,8.14,17.644
2018-01-30,67.09,3.15,6.67,1.93,8.18,17.404000000000003
2018-01-31,67.17,3.15,6.33,1.93,7.93,17.302000000000003
2018-02-01,67.55,3.15,6.07,1.92,7.81,17.300000000000004
2018-02-02,66.44,2.94,5.82,1.94,7.55,16.937999999999995
2018-02-05,63.5,2.81,5.61,1.8,7.2,16.184
2018-02-06,63.48,2.88,5.55,1.84,7.05,16.16
2018-02-07,62.94,2.88,5.54,1.98,7.04,16.076
2018-02-08,60.69,2.9,5.33,1.72,6.79,15.486
2018-02-09,61.22,2.9,5.37,1.7,6.85,15.608
2018-02-12,62.52,2.9,6.0,1.745,6.89,16.011000000000003
2018-02-13,64.22,3.01,5.97,1.78,7.38,16.472
2018-02-14,65.24,3.01,6.42,1.78,7.48,16.786
2018-02-15,65.82,3.01,6.53,1.83,7.39,16.916
2018-02-16,65.85,3.01,6.78,1.85,7.64,17.026
2018-02-20,66.58,3.17,6.73,1.77,7.49,17.148
2018-02-21,66.7,3.13,7.06,1.99,7.36,17.247999999999998
2018-02-22,66.28,3.1275,6.69,1.88,7.12,17.0195
2018-02-23,61.79,3.13,6.865,1.96,7.16,16.180999999999997
2018-02-26,65.1,3.1275,7.05,1.96,7.6,16.967499999999994
2018-02-27,63.48,3.12,6.75,1.9,7.27,16.503999999999998
2018-02-28,62.85,3.12,6.69,1.86,7.09,16.322
2018-03-01,62.09,3.03,6.94,1.81,7.06,16.186
2018-03-02,64.33,3.03,7.06,1.89,7.19,16.7
2018-03-05,66.05,3.06,7.2,1.89,7.25,17.09
2018-03-06,67.45,3.1,7.43,1.88,7.37,17.445999999999998
2018-03-07,67.95,3.12,6.76,1.83,7.35,17.402
2018-03-08,67.69,3.12,6.91,1.89,7.44,17.41
2018-03-09,67.9,3.12,7.15,1.94,7.16,17.454
2018-03-12,70.05,3.15,7.2,2.08,7.28,17.952
2018-03-13,69.15,3.18,7.27,1.97,7.19,17.752000000000002
2018-03-14,69.52,3.16,7.65,1.94,7.18,17.889999999999997
2018-03-15,68.74,3.16,7.46,1.96,7.03,17.669999999999995
2018-03-16,69.87,3.16,7.66,2.04,7.21,17.988
2018-03-19,71.26,3.17,7.63,1.98,7.47,18.302
2018-03-20,73.0,3.17,8.05,1.96,8.04,18.844
2018-03-21,73.87,3.37,8.64,1.96,8.04,19.176
2018-03-22,72.09,3.25,8.47,1.91,7.76,18.696
2018-03-23,70.65,3.19,8.43,1.89,7.74,18.380000000000003
2018-03-26,74.02,3.18,8.73,1.95,8.24,19.224
2018-03-27,71.51,3.08,8.76,1.89,7.88,18.624000000000002
2018-03-28,69.32,3.08,8.69,1.91,7.66,18.131999999999998
2018-03-29,70.98,3.2,8.93,1.89,7.98,18.596000000000004
2018-04-02,69.39,3.17,9.08,1.77,7.63,18.208
2018-04-03,69.76,3.15,9.16,1.78,7.55,18.28
2018-04-04,70.19,3.06,9.82,1.83,7.66,18.511999999999997
2018-04-05,71.64,3.1,9.94,1.83,8.07,18.915999999999997
2018-04-06,69.7,3.38,8.52,1.8,8.1,18.299999999999997
2018-04-09,70.85,3.42,8.19,1.83,8.15,18.488
2018-04-10,70.79,3.47,8.2,1.85,8.3,18.522
2018-04-11,71.25,3.24,8.28,1.86,7.95,18.516
2018-04-12,71.23,3.29,8.47,1.87,8.14,18.6
2018-04-13,70.68,3.3,8.5,1.88,8.2,18.512
2018-04-16,70.12,3.3,8.63,1.88,8.07,18.4
2018-04-17,72.68,3.34,8.75,1.96,8.35,19.016
2018-04-18,77.58,3.34,9.11,1.95,9.34,20.264000000000003
2018-04-19,76.96,3.25,8.91,1.95,9.77,20.168
2018-04-20,75.51,3.33,9.27,1.92,9.69,19.944
2018-04-23,74.37,3.34,8.82,1.9,8.95,19.476000000000003
2018-04-24,74.07,3.25,8.88,1.86,8.93,19.397999999999996
2018-04-25,73.58,3.29,8.99,1.84,8.79,19.298000000000002
2018-04-26,75.08,3.3,9.08,1.86,8.89,19.642
2018-04-27,77.95,3.3,9.25,1.82,8.96,20.256
2018-04-30,70.91,3.52,9.22,1.83,8.53,18.802
2018-05-01,67.51,3.45,9.08,1.86,8.42,18.064
2018-05-02,68.02,3.51,9.06,1.87,8.36,18.164
2018-05-03,65.98,3.44,8.89,1.84,8.14,17.658
2018-05-04,66.37,3.33,8.98,1.81,8.1,17.718
2018-05-07,67.15,3.24,9.33,1.87,8.42,18.002000000000002
2018-05-08,67.26,3.22,9.43,1.84,8.47,18.044
2018-05-09,69.43,3.28,9.83,2.0,9.01,18.71
2018-05-10,73.01,3.28,11.5,2.02,9.01,19.764000000000003
2018-05-11,72.78,3.28,10.69,2.16,8.71,19.524
2018-05-14,73.54,3.28,10.89,2.19,8.86,19.752000000000002
2018-05-15,73.44,3.28,10.85,2.15,9.2,19.784
2018-05-16,72.77,3.34,10.64,2.11,9.09,19.59
2018-05-17,71.39,3.38,10.86,2.12,9.28,19.406
2018-05-18,70.0,3.22,10.98,2.12,9.3,19.124000000000002
2018-05-21,70.92,3.25,10.91,2.22,9.45,19.35
2018-05-22,69.99,3.34,10.88,2.14,9.2,19.11
2018-05-23,68.42,3.34,10.89,2.14,8.82,18.722
2018-05-24,68.37,3.334,11.01,2.15,8.87,18.746800000000004
2018-05-25,68.25,3.16,10.91,1.97,8.8,18.618
2018-05-29,69.21,3.12,11.0,1.95,8.83,18.822
2018-05-30,69.04,3.14,11.5,1.95,8.59,18.844
2018-05-31,67.61,3.12,12.1,1.87,8.39,18.618000000000002
2018-06-01,65.93,3.12,12.27,1.89,8.44,18.330000000000002
2018-06-04,61.74,3.12,12.32,1.87,8.18,17.446000000000005
2018-06-05,58.24,3.11,12.82,1.82,7.87,16.772
2018-06-06,55.53,3.2,12.57,1.86,7.32,16.096000000000004
2018-06-07,53.28,3.11,12.28,1.85,7.28,15.559999999999999
2018-06-08,52.67,3.02,12.69,1.86,7.05,15.458000000000002
2018-06-11,51.82,3.16,12.64,1.93,7.47,15.404000000000002
2018-06-12,53.85,3.03,13.49,2.01,7.86,16.048000000000002
2018-06-13,52.69,3.01,13.98,2.01,7.98,15.934000000000001
2018-06-14,53.71,3.01,14.18,1.99,8.02,16.182
2018-06-15,51.06,3.0,13.63,1.98,7.62,15.458000000000002
2018-06-18,51.83,3.0,13.82,1.99,7.96,15.719999999999999
2018-06-19,52.23,3.0,13.78,1.98,8.09,15.815999999999999
2018-06-20,51.67,2.77,13.86,2.01,8.06,15.674000000000003
2018-06-21,52.31,2.77,13.69,1.99,7.98,15.748000000000001
2018-06-22,52.65,2.98,13.87,2.04,8.23,15.954000000000002
2018-06-25,52.64,2.98,13.45,1.94,7.79,15.76
2018-06-26,51.91,2.73,13.5,2.03,7.78,15.589999999999998
2018-06-27,50.98,2.74,13.1,1.97,7.68,15.294
2018-06-28,52.13,2.65,13.05,1.99,7.74,15.511999999999997
2018-06-29,52.66,2.65,13.15,2.02,7.67,15.629999999999999
2018-07-02,53.05,2.63,14.17,2.03,8.05,15.985999999999999
2018-07-03,52.36,2.63,14.18,2.01,7.7,15.776000000000002
2018-07-05,53.3,2.63,14.99,2.05,7.89,16.172
2018-07-06,54.53,2.63,15.49,2.02,7.87,16.508000000000003
2018-07-09,54.83,2.64,15.95,2.03,7.96,16.682
2018-07-10,55.22,2.64,15.79,2.06,7.98,16.738000000000003
2018-07-11,54.72,2.64,15.96,2.06,7.93,16.662
2018-07-12,54.7,2.64,15.96,2.18,7.97,16.690000000000005
2018-07-13,54.06,2.64,15.75,2.05,7.84,16.468
2018-07-16,54.01,2.64,15.94,2.01,7.78,16.476000000000003
2018-07-17,53.75,2.64,15.17,1.98,7.52,16.212
2018-07-18,54.0,2.64,15.16,1.99,7.38,16.233999999999998
2018-07-19,53.88,2.64,15.45,2.02,7.56,16.31
2018-07-20,53.48,2.72,14.38,1.96,7.38,15.983999999999998
2018-07-23,52.62,2.72,14.54,1.96,7.34,15.835999999999999
2018-07-24,53.05,2.73,14.74,1.91,7.3,15.945999999999998
2018-07-25,54.04,2.73,15.11,1.96,7.53,16.273999999999997
