Date,daily_tweets,neg_sentiment,pos_sentiment,compound_sentiment,closing_price
2017-11-02,29,282,282,282,5.69
2017-11-03,29,145,145,145,5.65
2017-11-06,41,382,382,382,6.13
2017-11-07,54,307,307,307,5.86
2017-11-08,77,345,345,345,5.89
2017-11-09,166,317,317,317,6.24
2017-11-10,80,233,233,233,5.83
2017-11-13,32,173,173,173,6.07
2017-11-14,83,246,246,246,6.17
2017-11-15,95,212,212,212,6.08
2017-11-16,138,316,316,316,6.04
2017-11-17,45,141,141,141,6.05
2017-11-20,70,167,167,167,6.02
2017-11-21,47,152,152,152,5.92
2017-11-22,46,161,161,161,5.92
2017-11-24,18,79,79,79,5.93
2017-11-27,50,237,237,237,6.08
2017-11-28,45,323,323,323,5.73
2017-11-29,30,266,266,266,5.56
2017-11-30,57,250,250,250,5.6
2017-12-01,43,249,249,249,5.44
2017-12-04,38,236,236,236,5.49
2017-12-05,14,319,319,319,5.56
2017-12-06,39,427,427,427,5.56
2017-12-07,91,352,352,352,5.67
2017-12-08,50,249,249,249,5.73
2017-12-11,29,307,307,307,5.8
2017-12-12,125,261,261,261,5.69
2017-12-13,34,137,137,137,5.69
2017-12-14,67,190,190,190,5.86
2017-12-15,72,198,198,198,6.06
2017-12-18,16,145,145,145,6.07
2017-12-19,38,154,154,154,5.99
2017-12-20,45,170,170,170,6.07
2017-12-21,51,142,142,142,6.05
2017-12-22,40,131,131,131,6.02
2017-12-26,31,95,95,95,5.84
2017-12-27,38,103,103,103,5.87
2017-12-28,37,138,138,138,6.07
2017-12-29,49,130,130,130,5.9
2018-01-02,22,156,156,156,5.92
2018-01-03,43,155,155,155,6.05
2018-01-04,62,202,202,202,6.06
2018-01-05,46,136,136,136,6.01
2018-01-08,25,108,108,108,6.05
2018-01-09,27,132,132,132,6.01
2018-01-10,57,182,182,182,6.02
2018-01-11,82,429,429,429,6.3
2018-01-12,60,290,290,290,6.36
2018-01-16,28,147,147,147,6.06
2018-01-17,54,144,144,144,6.09
2018-01-18,63,181,181,181,5.92
2018-01-19,57,183,183,183,5.94
2018-01-22,55,312,312,312,6.04
2018-01-23,79,475,475,475,6.41
2018-01-24,65,203,203,203,6.39
2018-01-25,82,270,270,270,6.33
2018-01-26,52,193,193,193,6.33
2018-01-29,60,174,174,174,6.66
2018-01-30,58,211,211,211,6.67
2018-01-31,52,159,159,159,6.33
2018-02-01,47,169,169,169,6.07
2018-02-02,47,150,150,150,5.82
2018-02-05,33,150,150,150,5.61
2018-02-06,34,138,138,138,5.55
2018-02-07,54,185,185,185,5.54
2018-02-08,44,235,235,235,5.33
2018-02-09,44,279,279,279,5.37
2018-02-12,69,241,241,241,6.0
2018-02-13,69,248,248,248,5.97
2018-02-14,55,300,300,300,6.42
2018-02-15,46,355,355,355,6.53
2018-02-16,52,190,190,190,6.78
2018-02-20,32,155,155,155,6.73
2018-02-21,57,262,262,262,7.06
2018-02-22,91,302,302,302,6.69
2018-02-23,60,309,309,309,6.865
2018-02-26,28,217,217,217,7.05
2018-02-27,49,266,266,266,6.75
2018-02-28,35,185,185,185,6.69
2018-03-01,44,198,198,198,6.94
2018-03-02,62,202,202,202,7.06
2018-03-05,57,196,196,196,7.2
2018-03-06,169,336,336,336,7.43
2018-03-07,215,412,412,412,6.76
2018-03-08,143,283,283,283,6.91
2018-03-09,148,268,268,268,7.15
2018-03-12,119,268,268,268,7.2
2018-03-13,89,212,212,212,7.27
2018-03-14,97,252,252,252,7.65
2018-03-15,86,228,228,228,7.46
2018-03-16,67,235,235,235,7.66
2018-03-19,77,207,207,207,7.63
2018-03-20,73,277,277,277,8.05
2018-03-21,122,283,283,283,8.64
2018-03-22,80,249,249,249,8.47
2018-03-23,51,173,173,173,8.43
2018-03-26,66,170,170,170,8.73
2018-03-27,88,237,237,237,8.76
2018-03-28,64,200,200,200,8.69
2018-03-29,76,157,157,157,8.93
2018-04-02,53,110,110,110,9.08
2018-04-03,76,234,234,234,9.16
2018-04-04,88,283,283,283,9.82
2018-04-05,77,200,200,200,9.94
2018-04-06,90,187,187,187,8.52
2018-04-09,98,190,190,190,8.19
2018-04-10,72,265,265,265,8.2
2018-04-11,134,268,268,268,8.28
2018-04-12,85,248,248,248,8.47
2018-04-13,69,173,173,173,8.5
2018-04-16,29,163,163,163,8.63
2018-04-17,63,232,232,232,8.75
2018-04-18,76,537,537,537,9.11
2018-04-19,88,321,321,321,8.91
2018-04-20,136,307,307,307,9.27
2018-04-23,180,327,327,327,8.82
2018-04-24,85,257,257,257,8.88
2018-04-25,91,242,242,242,8.99
2018-04-26,93,382,382,382,9.08
2018-04-27,71,376,376,376,9.25
2018-04-30,66,223,223,223,9.22
2018-05-01,76,236,236,236,9.08
2018-05-02,61,222,222,222,9.06
2018-05-03,54,179,179,179,8.89
2018-05-04,84,191,191,191,8.98
2018-05-07,33,142,142,142,9.33
2018-05-08,62,255,255,255,9.43
2018-05-09,165,410,410,410,9.83
2018-05-10,249,495,495,495,11.5
2018-05-11,116,284,284,284,10.69
2018-05-14,49,203,203,203,10.89
2018-05-15,68,199,199,199,10.85
2018-05-16,78,215,215,215,10.64
2018-05-17,50,212,212,212,10.86
2018-05-18,61,252,252,252,10.98
2018-05-21,29,145,145,145,10.91
2018-05-22,14,143,143,143,10.88
2018-05-23,24,176,176,176,10.89
2018-05-24,43,189,189,189,11.01
2018-05-25,53,203,203,203,10.91
2018-05-29,23,165,165,165,11.0
2018-05-30,84,184,184,184,11.5
2018-05-31,108,195,195,195,12.1
2018-06-01,63,141,141,141,12.27
2018-06-04,77,219,219,219,12.32
2018-06-05,80,426,426,426,12.82
2018-06-06,86,459,459,459,12.57
2018-06-07,80,378,378,378,12.28
2018-06-08,59,231,231,231,12.69
2018-06-11,51,208,208,208,12.64
2018-06-12,98,298,298,298,13.49
2018-06-13,97,311,311,311,13.98
2018-06-14,79,233,233,233,14.18
2018-06-15,68,220,220,220,13.63
2018-06-18,57,161,161,161,13.82
2018-06-19,61,184,184,184,13.78
2018-06-20,71,223,223,223,13.86
2018-06-21,58,170,170,170,13.69
2018-06-22,67,224,224,224,13.87
2018-06-25,48,249,249,249,13.45
2018-06-26,62,189,189,189,13.5
2018-06-27,49,188,188,188,13.1
2018-06-28,50,193,193,193,13.05
2018-06-29,79,221,221,221,13.15
2018-07-02,53,184,184,184,14.17
2018-07-03,43,149,149,149,14.18
2018-07-05,99,229,229,229,14.99
2018-07-06,81,169,169,169,15.49
2018-07-09,49,171,171,171,15.95
2018-07-10,54,199,199,199,15.79
2018-07-11,48,176,176,176,15.96
2018-07-12,47,194,194,194,15.96
2018-07-13,34,147,147,147,15.75
2018-07-16,38,135,135,135,15.94
2018-07-17,30,117,117,117,15.17
2018-07-18,26,138,138,138,15.16
2018-07-19,64,191,191,191,15.45
2018-07-20,75,165,165,165,14.38
2018-07-23,113,211,211,211,14.54
2018-07-24,65,178,178,178,14.74
2018-07-25,49,158,158,158,15.11
2018-07-26,68,235,235,235,15.23
2018-07-27,66,331,331,331,14.61
2018-07-30,40,187,187,187,13.85
2018-07-31,66,225,225,225,14.14
2018-08-01,54,157,157,157,14.32
2018-08-02,65,176,176,176,14.77
2018-08-03,104,213,213,213,13.84
2018-08-06,21,99,99,99,13.91
2018-08-07,71,148,148,148,14.02
2018-08-08,66,247,247,247,14.29
2018-08-09,97,285,285,285,14.34
2018-08-10,198,350,350,350,13.29
2018-08-13,60,169,169,169,13.21
2018-08-14,61,204,204,204,13.16
2018-08-15,34,128,128,128,13.26
2018-08-16,32,156,156,156,13.39
2018-08-17,43,140,140,140,12.97
2018-08-20,38,138,138,138,13.88
2018-08-21,29,167,167,167,13.98
2018-08-22,30,154,154,154,14.32
2018-08-23,41,235,235,235,13.57
2018-08-24,17,111,111,111,14.16
2018-08-27,16,163,163,163,13.97
2018-08-28,47,194,194,194,13.39
2018-08-29,33,221,221,221,13.52
2018-08-30,44,206,206,206,13.1
2018-08-31,18,110,110,110,13.12
2018-09-04,24,100,100,100,12.78
2018-09-05,20,99,99,99,12.64
2018-09-06,29,100,100,100,12.33
